frame,timestamp,pitch,yaw,roll
0,0.0,-5.993177509027217,-82.97200017366218,-9.413246640778185
1,0.016683350016683352,1.6396151266675627,-82.14209767288614,-2.051848095880246
2,0.033366700033366704,-5.658971050249878,-82.2429327901352,-9.032032135929379
3,0.05005005005005005,0.7540205114898435,-82.74861151839507,-2.88645112642498
4,0.06673340006673341,-0.025915168636240042,-81.77540749557659,-3.7284630756345836
5,0.08341675008341676,-1.810598973498518,-81.92036674747185,-5.638382029905153
6,0.1001001001001001,2.8747672037037884,-82.85699199921605,-0.9121750188851584
7,0.11678345011678345,2.1648463439693044,-82.47342250351286,-1.3570507559531702
8,0.13346680013346682,2.650814963455677,-83.75552651560614,-1.0975859068979545
9,0.15015015015015015,-1.0149846840655687,-82.71985355639227,-4.48454362850517
10,0.16683350016683351,0.7649544497355717,-83.98021221179658,-2.889330988985999
11,0.18351685018351685,-0.2279212832275086,-83.40486108863794,-3.709051485130363
12,0.2002002002002002,-3.6988993372176524,-82.28787206671453,-6.856829344225041
13,0.21688355021688355,-0.1650884063561984,-82.5296080202515,-3.6314865570523054
14,0.2335669002335669,3.4181009053748377,-83.00731276308741,-0.10526440325408003
15,0.2502502502502503,-0.13082237804166638,-82.48793255053089,-3.7076947083166494
16,0.26693360026693363,0.7782652168049237,-83.78428945422368,-2.6908431019054175
17,0.28361695028361694,-5.649211940614106,-82.65337399759616,-9.131709595044585
18,0.3003003003003003,-1.9756737796879122,-83.25659863453954,-5.388624535972916
19,0.31698365031698367,4.449696232748503,-83.8895170799974,1.1216527887435346
20,0.33366700033366703,-11.18077943142137,-81.98271189170798,-14.1139257026074
21,0.35035035035035034,-9.770702601106127,-81.73953274895999,-12.522845186530207
22,0.3670337003670337,-10.709623311182845,-81.49286899402094,-13.349880805889976
23,0.38371705038371706,-9.68028492762992,-82.88393016085688,-12.597285502607013
24,0.4004004004004004,-10.066466217123093,-82.64843481933433,-12.506499271785497
25,0.4170837504170838,-14.14192100767922,-82.82706326873397,-16.646774279931734
26,0.4337671004337671,-7.644739077404105,-82.55631666530522,-9.73295362826861
27,0.45045045045045046,-9.872972240061744,-81.72139236887459,-11.929852430862994
28,0.4671338004671338,-9.951941268547102,-82.70916231978768,-12.496019716842406
29,0.4838171504838172,-11.523810927402765,-82.69663276805935,-13.289650499618496
30,0.5005005005005005,-19.17741415687953,-81.59056968727329,-20.45887634369717
31,0.5171838505171839,-17.20264604585626,-81.77208983997875,-18.17443849735568
32,0.5338672005338673,-13.858238261829355,-82.39545100540222,-14.55286574994248
33,0.5505505505505506,-12.716440486945006,-82.1557732001184,-13.385638418683987
34,0.5672339005672339,-14.870305061140947,-80.75003754137722,-15.305067210942362
35,0.5839172505839173,-16.331540181512572,-81.10909766052555,-15.992859084528039
36,0.6006006006006006,-12.757024317932826,-80.64350294353214,-12.61581467264596
37,0.617283950617284,-15.957954872058952,-80.67348414971892,-15.292776163228112
38,0.6339673006339673,-15.92970429186239,-80.46813465324044,-14.914419775526067
39,0.6506506506506506,-16.391676950979434,-80.11485000083297,-14.82183362684998
40,0.6673340006673341,-19.706455105709463,-80.96688561015158,-17.54751389237612
41,0.6840173506840174,-20.962533499687535,-80.2954808171704,-18.48553179824581
42,0.7007007007007007,-21.60625972870572,-81.32703415460038,-18.665346967075905
43,0.7173840507173841,-23.471497799284037,-79.59914838936848,-20.82426325292031
44,0.7340674007340674,-23.582964369106033,-81.35629824006382,-19.87810139150092
45,0.7507507507507508,-21.003004726570005,-80.3484202314419,-16.807388630213147
46,0.7674341007674341,-19.27995164074956,-80.91744817926715,-14.674314968433377
47,0.7841174507841174,-19.78309733916072,-80.59677512737468,-15.068707987637733
48,0.8008008008008008,-31.019635246688942,-81.06204509277272,-25.085313339126404
49,0.8174841508174842,-25.38673776088066,-82.32261078361039,-19.122291068747593
50,0.8341675008341676,-23.77838961343762,-82.48649596246479,-17.297284408507906
51,0.8508508508508509,-21.77031405853922,-82.5326556291956,-15.059920780845804
52,0.8675342008675342,-25.604183614455195,-82.1778991844015,-18.05414341968816
53,0.8842175508842176,-32.030535474500695,-82.74325638957514,-23.891897612327043
54,0.9009009009009009,-31.191188677068457,-82.46974721606865,-22.75016403871514
55,0.9175842509175843,-29.191311356179444,-81.7442642934466,-20.128895940713974
56,0.9342676009342676,-28.295242707349356,-80.67432710586333,-18.813857011580776
57,0.950950950950951,-30.524842882848734,-81.52905108337498,-20.390328608725017
58,0.9676343009676344,-32.29605125555931,-81.50622281220203,-21.834274154248885
59,0.9843176509843177,-39.82707386831681,-82.1141452307685,-28.8295499169695
60,1.001001001001001,-32.064725960511545,-82.82268853463333,-19.96951023074293
61,1.0176843510176843,-30.37706256188296,-82.72238726995248,-18.321180778457048
62,1.0343677010343677,-31.119282714310835,-81.28109018546581,-17.83078664668682
63,1.0510510510510511,-32.54611204896463,-83.03939303167564,-19.31615215909353
64,1.0677344010677345,-31.7274432376788,-82.4209385957423,-18.30972981554015
65,1.0844177510844177,-32.84313550484246,-83.12941692605847,-18.879105790599436
66,1.1011011011011012,-38.70679278944633,-82.95644268739692,-24.53445161368352
67,1.1177844511177846,-36.10793494773785,-82.22915534426284,-22.081917718643762
68,1.1344678011344678,-30.300610015766203,-82.63587480973699,-15.508475678955332
69,1.1511511511511512,-32.79447803652545,-81.63557127274395,-17.79673988788121
70,1.1678345011678346,-34.81838946984115,-82.23021622890337,-19.455751827003276
71,1.1845178511845178,-35.25615899622312,-81.7256152637021,-19.389249626884734
72,1.2012012012012012,-35.354172135146875,-80.98393295876538,-19.214131159320406
73,1.2178845512178846,-34.90276799009061,-81.33584842126737,-18.12468075661356
74,1.234567901234568,-38.972198439352184,-82.20983201904389,-21.70438430898297
75,1.2512512512512513,-38.03011748342364,-82.40482447816716,-20.69761182105824
76,1.2679346012679347,-36.8356876417895,-82.47587368676069,-19.02365697447733
77,1.284617951284618,-42.39201959228768,-81.5976014787763,-24.232510092489683
78,1.3013013013013013,-38.27841485636191,-82.96232151293846,-20.87607949478326
79,1.3179846513179847,-43.29776468503858,-81.86471983965095,-24.770822653184247
80,1.3346680013346681,-39.2496427365148,-81.77564622708482,-20.26992585699633
81,1.3513513513513513,-43.25916195241549,-81.0620670739321,-24.147768014386383
82,1.3680347013680347,-47.953300102076646,-81.76529160373613,-28.250293331298426
83,1.3847180513847182,-51.565751646424076,-81.46857132840312,-31.64064374770502
84,1.4014014014014013,-49.42609376495757,-80.98510981641755,-29.542370502234427
85,1.4180847514180848,-46.745056998846444,-82.0477637819405,-26.813292256433982
86,1.4347681014347682,-45.5276773980117,-82.79663180666617,-25.143337950175496
87,1.4514514514514516,-51.891606717159114,-81.12894020238326,-31.088928945697006
88,1.4681348014681348,-47.1081993138024,-80.50418941355403,-26.303125399347323
89,1.4848181514848182,-48.316654115438254,-80.37990140560188,-27.371610087804058
90,1.5015015015015016,-49.48538506778049,-81.24226847530588,-28.156488057747577
91,1.5181848515181848,-49.516995765328396,-82.34698524252342,-27.97829989876515
92,1.5348682015348682,-50.10502453768833,-81.80695582044201,-28.76866190842867
