frame,timestamp,pitch,yaw,roll
0,0.0,-44.510339914851016,1.5741818365404743,0.34556106792373265
1,0.016661870503597125,-44.38725357098567,2.4690798792704127,-0.37787291578540544
2,0.03332374100719425,-46.201247423495666,2.196179959273332,0.7949113107156001
3,0.04998561151079137,-46.90756665748668,2.130305140052719,0.6298234202530878
4,0.0666474820143885,-45.975850317038876,1.5808356819523466,0.6277585841923965
5,0.08330935251798562,-46.61558016118987,2.1915461214022756,1.0489267447354313
6,0.09997122302158273,-47.509578625761435,1.5526963081210128,1.1443865212409525
7,0.11663309352517987,-46.940981535099326,2.3655968556029983,1.1397466807919916
8,0.133294964028777,-47.07968556486899,2.9377123101018427,1.7702707251391525
9,0.1499568345323741,-47.62964252666831,1.8900059312669841,1.5443241558025298
10,0.16661870503597123,-46.91929934249771,2.211125006844773,1.202131895263167
11,0.18328057553956836,-46.41665132398658,2.597054781319623,1.261867933621761
12,0.19994244604316547,-47.267172385918585,2.4519245569759214,1.355867760696824
13,0.2166043165467626,-46.385940826524966,2.4414829913129017,0.7425947757370774
14,0.23326618705035973,-46.233671023003154,2.5713099495944047,0.20632753044104232
15,0.24992805755395683,-46.83778396307986,1.789248184211124,0.5971325356080821
16,0.266589928057554,-46.51934968065691,2.026333546520673,0.37109854461721326
17,0.28325179856115107,-46.410462657213465,2.0617994601075544,0.30488545707527015
18,0.2999136690647482,-46.27024826597061,2.0207459555877487,0.19775358789331074
19,0.31657553956834533,-46.06264087807935,2.250631309088356,0.11497896978012559
20,0.33323741007194246,-45.90495658283407,2.501804859583401,0.19286875191459035
21,0.3498992805755396,-45.76782368589583,2.3311984533200767,-0.0673961962685037
22,0.3665611510791367,-45.61993339260806,2.833635516952001,0.06553919453517772
23,0.3832230215827338,-45.05349687603222,2.167412332125316,-0.4005627226544309
24,0.39988489208633093,-45.52753778588349,2.3915463980374505,-0.9302534969660641
25,0.41654676258992807,-45.02588723997763,2.0231239150665514,-0.696983608017744
26,0.4332086330935252,-44.89609522487944,2.3168945169448207,-0.39016578661368434
27,0.44987050359712233,-43.917989958847066,2.5735377690494454,-0.9312807051544384
28,0.46653237410071946,-44.21582348348165,3.0076722465470427,-0.43882876215156646
29,0.4831942446043166,-44.2473208238943,2.6243981560751806,-0.44870232123447007
30,0.49985611510791367,-44.31408038233724,2.865833573006029,-0.34361273330155123
31,0.5165179856115109,-44.53626828933444,2.8833205839971305,-0.24390527774196114
32,0.533179856115108,-44.65192139438004,2.966945046102709,-0.25571166797282796
33,0.549841726618705,-44.441465833448405,3.014512092364633,-0.4129359687218901
34,0.5665035971223021,-44.29889225540493,3.1211894757358154,-0.378677454222756
35,0.5831654676258993,-44.272274371840766,3.1889210487502173,-0.20123296208136393
36,0.5998273381294964,-45.04715691013101,2.948562503379828,0.07156966517329347
37,0.6164892086330935,-45.05113952569012,3.3506594713117206,-0.41609495627467685
38,0.6331510791366907,-45.87087852577239,3.141959720789496,-0.05274739927004255
39,0.6498129496402878,-45.337696354802354,3.5664520294435853,0.09645462991214344
40,0.6664748201438849,-45.64442127215205,3.604135366379483,0.3483092494217722
41,0.6831366906474821,-46.51749128804267,4.00413919057039,0.41302455655145065
42,0.6997985611510792,-46.29924736150133,4.215843317246962,0.25305151757001726
43,0.7164604316546763,-47.360809978019454,4.5519512427290625,0.24280889852437015
44,0.7331223021582735,-46.76785468302688,4.894682770616038,0.07761589892600079
45,0.7497841726618706,-47.00434780571309,5.4516220664144095,0.4949576640615713
46,0.7664460431654676,-46.954898557430226,5.256729808498029,0.43294250508397986
47,0.7831079136690647,-48.419310491524634,5.45959529056508,0.7405659828809231
48,0.7997697841726619,-49.62992285189277,5.327594142039808,0.7102467052921557
49,0.816431654676259,-48.876898235705184,5.9037660035428035,1.074024733219909
50,0.8330935251798561,-49.133298817829015,5.973532588200836,1.1046847432037967
51,0.8497553956834533,-48.5081537592156,6.541025324685067,1.3391565555378784
52,0.8664172661870504,-49.78571473503194,6.493571571459207,1.7145251430456145
53,0.8830791366906475,-49.2047956349157,8.047921298922088,1.802499887190027
54,0.8997410071942447,-49.349576075256245,7.7943419017209195,2.0085000706306735
55,0.9164028776978418,-49.36029029635808,9.628380928165509,1.9324729625674844
56,0.9330647482014389,-48.43781009006645,10.462224500241977,1.6026607362831944
57,0.949726618705036,-48.57648517426541,10.624444854934456,2.024279976524375
58,0.9663884892086332,-48.345589756627824,10.402500149794589,2.2216591277433166
59,0.9830503597122302,-48.023946440608036,11.851053443708235,2.099573335863949
60,0.9997122302158273,-48.17247593646794,12.032081338982675,2.201768485149647
61,1.0163741007194245,-47.60930653231497,12.352254044191287,2.2290519681346423
62,1.0330359712230217,-47.7956139311362,12.482818674560857,2.535861707227567
63,1.0496978417266187,-48.08562537255882,13.301046164211579,3.199818566390012
64,1.066359712230216,-47.76534196294193,12.861793820061077,2.798265776152908
65,1.083021582733813,-47.79412533637084,14.326938526811286,3.163656197471841
66,1.09968345323741,-47.1660165205748,14.499250734771142,1.9601396512371
67,1.1163453237410073,-48.80566729379005,14.937684022192832,3.3008509881058643
68,1.1330071942446043,-47.26061355652792,14.600013868371208,2.0297891106507
69,1.1496690647482015,-47.44829996393421,15.81581752293874,3.272689500986651
70,1.1663309352517985,-47.01908371509161,15.543918370761503,1.9501510139368727
71,1.1829928057553958,-47.93976155514805,16.578995590105208,3.1733476066795663
72,1.1996546762589928,-48.924100868622105,15.769326610961329,2.4212503322430425
73,1.21631654676259,-47.29703113984156,16.940731205145198,2.982349675121391
74,1.232978417266187,-47.54390892614894,16.685005932065067,2.158412038211819
75,1.2496402877697843,-47.644897821176784,18.215191477908842,3.3807651643622045
76,1.2663021582733813,-46.82916000593966,16.724451787650978,2.3495092452564856
